err_tr,err_val,fun,init_trr_err,jac_norm,neurons,rho,sigma
1.1907938363664232,1.3992170300113358,0.5955222240980932,1.9672292100151707,6.6745357295001125e-06,1,1e-05,0.001
1.1945278826279149,1.381013021249676,0.5973878381126052,1.4765328566936584,3.6972224169496285e-06,1,1e-05,0.01
1.3157684321865806,1.3536907091331476,0.6579901062032144,1.680285564749349,4.439208493561388e-06,1,1e-05,0.1
1.354086710187099,1.4112201562070232,0.6771443494135718,2.792343849631308,6.679312909511541e-06,1,1e-05,0.2
1.3753744042909843,1.3192167738566656,0.6877899685724623,1.564069114377479,3.3136693084825214e-06,1,1e-05,0.2
1.2140501758415876,1.2857890538224694,0.6071535883747852,1.6581258961002543,3.9705880889425526e-06,1,1e-05,0.5
1.2796867154438305,1.3053683237691307,0.6399751312837395,1.90469497386088,5.972275437402119e-06,1,1e-05,1.0
1.197919348960824,1.3401244280585636,0.5990817079386429,1.402392354001137,1.5492914761601931e-06,1,1e-05,1.0
1.2748581400354966,1.3336827873585395,0.6375644999071283,1.528862695223654,4.122983509306997e-06,1,1e-05,1.0
1.204070990981803,1.3266147215522492,0.6021591270648946,1.5766903500703884,3.063485286378593e-06,1,0.0001,0.001
1.3413856196035676,1.2705341011432627,0.6708047392498683,1.6226473852297818,2.9205017585350064e-06,1,0.0001,0.01
1.2368011192410375,1.189507122013545,0.618527160695343,1.4385703600976965,4.890228639473454e-06,1,0.0001,0.1
1.301493357634002,1.4120854425140124,0.6508526798491394,2.025084835229406,2.2272235098795362e-06,1,0.0001,0.5
1.336515425964312,1.2732067670245677,0.6683733063225813,1.7448974708444571,3.939232126340057e-06,1,0.0001,1.0
1.3203198890991297,1.36043679707643,0.6602789944950921,1.6105663060059712,9.336714152582114e-06,1,0.001,0.001
1.1997671389473434,1.3629845055937573,0.6000034668230979,1.489195165609677,3.123793678240986e-06,1,0.001,0.01
1.213938375111248,1.2831415276847309,0.607084809163792,1.5261232584601996,3.859578224897077e-06,1,0.001,0.1
1.3705232342830012,1.3591739662811686,0.6928354186603375,1.5969212532224282,6.9503120368848235e-06,1,0.001,0.2
1.272784092114826,1.3433422323090394,0.6459908515667768,1.5459771877368265,3.4888193797953767e-06,1,0.001,0.2
1.2230290854549806,1.2470804521009966,0.6116338459023221,1.3927887275947728,5.139298847168452e-06,1,0.001,0.5
1.3729680190227525,1.3455243572342477,0.6942384438455087,1.7105101514757972,3.0313275552479043e-06,1,0.001,1.0
1.3612025562539696,1.1766238536611322,0.6807156739122181,1.5910532559350499,7.367749737407651e-06,1,0.001,1.0
